observationID,recordKey,gridReference,siteKey,siteName,featureKey,startDate,endDate,pTaxonVersionKey,taxonName,authority,commonName
463172822,13254,NY83,,,136272,30/01/1993,30/01/1993,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172825,13257,NY83,,,136272,04/01/1994,04/01/1994,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172857,10537,SP78,,,167791,17/01/1998,17/01/1998,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172858,10538,SP78,,,167791,15/02/1998,15/02/1998,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172860,10540,SP78,,,167791,16/01/1999,16/01/1999,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172863,10543,SP78,,,167791,15/02/1999,15/02/1999,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172865,10545,SP78,,,167791,16/01/2000,16/01/2000,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172870,10550,SP78,,,167791,14/01/2001,14/01/2001,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172873,10553,SP78,,,167791,10/02/2001,10/02/2001,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172878,10558,SP78,,,167791,10/02/2002,10/02/2002,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172881,10561,SP78,,,167791,11/01/2003,11/01/2003,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172884,10564,SP78,,,167791,15/02/2003,15/02/2003,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172886,16287,SD67,,,138078,28/01/2006,28/01/2006,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172891,15065,TQ03,,,163869,17/01/2004,17/01/2004,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172893,16899,SK15,,,147011,21/01/2006,21/01/2006,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172896,16902,SK15,,,147011,25/02/2006,25/02/2006,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172909,14690,SP78,,,167791,16/01/2004,16/01/2004,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172912,14693,SP78,,,167791,21/02/2004,21/02/2004,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463172914,266,SK15,,,147011,26/01/2008,26/01/2008,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172919,271,SK15,,,147011,26/01/2008,26/01/2008,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172920,272,SK15,,,147011,23/02/2008,23/02/2008,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172924,276,SK15,,,147011,23/02/2008,23/02/2008,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172925,11084,ST45,,,155857,12/02/1997,12/02/1997,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463172928,11087,ST45,,,155857,01/02/2002,01/02/2002,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463172929,11088,ST45,,,155857,26/01/2003,26/01/2003,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463172930,11089,ST45,,,155857,28/02/2003,28/02/2003,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463172934,14471,SJ14,,,145562,06/03/1999,06/03/1999,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172935,14472,SJ14,,,145562,06/03/1999,06/03/1999,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172937,14474,SJ14,,,145562,22/01/2000,22/01/2000,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172939,14476,SJ14,,,145562,22/01/2000,22/01/2000,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172943,14480,SJ14,,,145562,20/01/2002,20/01/2002,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172948,14485,SJ14,,,145562,19/01/2003,19/01/2003,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172950,20207,SJ08,19784190,30062,145465,03/02/2013,03/02/2013,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463172954,22350,SJ14,,,145562,03/12/1988,03/12/1988,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172959,22355,SJ14,,,145562,04/03/1989,04/03/1989,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172963,22359,SJ14,,,145562,02/12/1989,02/12/1989,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172966,22362,SJ14,,,145562,20/01/1990,20/01/1990,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172968,22364,SJ14,,,145562,20/01/1990,20/01/1990,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172970,22366,SJ14,,,145562,03/03/1990,03/03/1990,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172974,22370,SJ14,,,145562,01/12/1990,01/12/1990,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172977,22397,SJ14,,,145562,21/01/1995,21/01/1995,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172979,22399,SJ14,,,145562,16/01/1997,16/01/1997,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172982,22402,SJ14,,,145562,07/03/1997,07/03/1997,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172985,22405,SJ14,,,145562,07/03/1997,07/03/1997,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172987,22407,SJ14,,,145562,05/12/1998,05/12/1998,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172989,22409,SJ14,,,145562,05/12/1998,05/12/1998,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172993,22413,SJ14,,,145562,20/01/2001,20/01/2001,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463172996,22416,SJ14,,,145562,18/01/2014,18/01/2014,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463172999,22419,SJ14,,,145562,18/01/2014,18/01/2014,NBNSYS0000005102,Plecotus auritus,"(Linnaeus, 1758)",Brown Long-eared Bat
463173001,22421,SJ14,,,145562,09/03/2014,09/03/2014,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173008,16957,SJ14,,,145562,22/01/2006,22/01/2006,NHMSYS0000528028,Myotis daubentonii,"(Kuhl, 1817)",Daubenton's Bat
463173011,4188,TL35,,,166276,28/01/2007,28/01/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173013,4190,TL35,,,166276,09/02/2007,09/02/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173015,4192,TL35,,,166276,21/12/2007,21/12/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173017,4194,TL35,,,166276,20/01/2008,20/01/2008,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
